Playlist Name,Track #,Artist,Song,Duration,Genre,URL,Album,Year
Best of Rock Vol. XXXVI,15,Neutral Milk Hotel,Three Peaches,,indie,,,
Best of Rock Vol. XXXVI,16,PJ Harvey,This Mess We're In,,alternative,,,
Best of Rock Vol. XXXVI,17,Ladytron,Sugar,,electronic,,,
Best of Rock Vol. XXXVI,18,DeVotchKa,The Enemy Guns,,Gypsy,,,
Best of Rock Vol. XXXVI,19,Dresden Dolls,Girl Anachronism,,punk cabaret,,,
Best of Rock Vol. XXXVI,20,Yeah Yeah Yeahs,Date with the Night,,indie rock,,,
Best of Rock Vol. XXXVI,21,Death Cab for Cutie,Soul Meets Body,,indie,,,
Best of Rock Vol. XXXVI,22,Beulah,If We Can Land a Man on the Moon, Surely I Can Win Your Heart,,indie,,,
Best of Rock Vol. XXXVII,1,Pink Floyd,Astronomy Domine,,Psychedelic Rock,,,
Best of Rock Vol. XXXVII,2,Tom Waits,Rain Dogs,,Tom Waits,,,
Best of Rock Vol. XXXVII,3,The Stooges,Down on the Street,,punk,,,
Best of Rock Vol. XXXVII,4,Jimi Hendrix,All Along the Watchtower,,classic rock,,,
Best of Rock Vol. XXXVII,5,The Black Keys,10 A.M. Automatic,,blues rock,,,
Best of Rock Vol. XXXVII,6,The Raconteurs,Steady As She Goes,,rock,,,
Best of Rock Vol. XXXVII,7,Guided By Voices,Tractor Rape Chain,,indie rock,,,
Best of Rock Vol. XXXVII,8,The Strokes,Soma,,indie rock,,,
Best of Rock Vol. XXXVII,9,The Mountain Goats,Cubs In Five,,singer-songwriter,,,
Best of Rock Vol. XXXVII,10,Clap Your Hands Say Yeah,The Skin of My Yellow Country Teeth,,indie,,,
Best of Rock Vol. XXXVII,11,Ugly Casanova,Ice on the Sheets,,indie,,,
Best of Rock Vol. XXXVII,12,The White Stripes,Girl, You Have No Faith In Medicine,,rock,,,
Best of Rock Vol. XXXVII,13,Arctic Monkeys,I Bet You Look Good on the Dancefloor,,indie rock,,,
Best of Rock Vol. XXXVII,14,Broken Social Scene,Windsurfing Nation,,indie,,,
Best of Rock Vol. XXXVII,15,Mogwai,Glasgow Mega-Snake,,post-rock,,,
Best of Rock Vol. XXXVII,16,Radiohead,Fog (Again) [live],,piano,,,
Best of Rock Vol. XXXVII,17,Lali Puna,Contratempo,,electronic,,,
Best of Rock Vol. XXXVII,18,The Notwist,No Encores,,indie,,,
Best of Rock Vol. XXXVII,19,Of Montreal,Doing Nothing,,Roctronik,,,
Best of Rock Vol. XXXVII,20,Grandaddy,Summer Here Kids,,indie,,,
Best of Rock Vol. XXXVII,21,Fischerspooner,Megacolon,,electro,,,
Best of Rock Vol. XXXVIII,1,!!!,Take Ecstacy With Me,,covers,,,
Best of Rock Vol. XXXVIII,2,Gang of Four,Ether,,post-punk,,,
Best of Rock Vol. XXXVIII,3,Spoon,I Turn My Camera On,,indie,,,
Best of Rock Vol. XXXVIII,4,Pink Floyd,See Emily Play,,Psychedelic Rock,,,
Best of Rock Vol. XXXVIII,5,Bauhaus,Telegram Sam,,post-punk,,,
Best of Rock Vol. XXXVIII,6,The Black Keys,When the Lights Go Out,,blues rock,,,
Best of Rock Vol. XXXVIII,7,Secret Machines,The Road Leads Where It's Led,,indie,,,
Best of Rock Vol. XXXVIII,8,Guided By Voices,Kicker of Elves,,alternative,,,
Best of Rock Vol. XXXVIII,9,Pixies,Rock Music,,rock,,,
Best of Rock Vol. XXXVIII,10,Pavement,Two States,,indie rock,,,
Best of Rock Vol. XXXVIII,11,Liars,The Other Side of Mt. Heart Attack,,indie,,,
Best of Rock Vol. XXXVIII,12,Sonic Youth,Disconnection Notice,,alternative,,,
Best of Rock Vol. XXXVIII,13,Devendra Banhart,The Body Breaks,,folk,,,
Best of Rock Vol. XXXVIII,14,Modest Mouse,Bankrupt On Selling,,indie,,,
Best of Rock Vol. XXXVIII,15,Sigur Ros,Hoppipolla,,post-rock,,,
Best of Rock Vol. XXXVIII,16,Boards of Canada,1969,,electronic,,,
Best of Rock Vol. XXXVIII,17,The Flaming Lips,Yeah Yeah Yeah Song,,indie,,,
Best of Rock Vol. XXXVIII,18,Omar Rodriguez-Lopez,The Palpatations Form a Limit,,post-rock,,,
Best of Rock Vol. XXXVIII,19,Silver Jews,Rebel Jew,,indie,,,
Best of Rock Vol. XXXVIII,20,Tom Waits,Big Black Mariah,,blues,,,
Best of Rock Vol. XXXVIII,21,Wolf Parade,We Built Another World,,indie,,,
Best of Rock Vol. XXXVIII,22,AC Newman,Miracle Drug,,indie rock,,,
Best of Rock Vol. XXXIX,1,Joy Division,Warsaw,,post-punk,,,
Best of Rock Vol. XXXIX,2,Bauhaus,Bela Lugosi's Dead,,post-punk,,,
Best of Rock Vol. XXXIX,3,Nine Inch Nails,Sin,,industrial,,,
Best of Rock Vol. XXXIX,4,Ladytron,Nuhorizons,,Electroclash,,,
Best of Rock Vol. XXXIX,5,Thom Yorke,Black Swan,,alternative,,,
Best of Rock Vol. XXXIX,6,The Flaming Lips,The W.A.N.D.,,indie,,,
Best of Rock Vol. XXXIX,7,Deerhoof,O'Malley, Former Underdog,,indie,,,
Best of Rock Vol. XXXIX,8,Cat Power,Cross Bones Style,,indie,,,
Best of Rock Vol. XXXIX,9,Sonic Youth,Jams Run Free,,alternative,,,
Best of Rock Vol. XXXIX,10,Broken Social Scene,Cause = Time,,indie,,,
Best of Rock Vol. XXXIX,11,Spoon,They Never Got You,,indie rock,,,
Best of Rock Vol. XXXIX,12,The Walkmen,Little House of Savages,,indie rock,,,
Best of Rock Vol. XXXIX,13,Secret Machines,I Hate Pretending,,rock,,,
Best of Rock Vol. XXXIX,14,...And You Will Know Us by the Trail of Dead,Baudelaire,,rock,,,
Best of Rock Vol. XXXIX,15,Tool,Lost Keys (Blame Hofmann),,Progressive metal,,,
Best of Rock Vol. XXXIX,16,Tool,Rosetta Stoned,,Progressive metal,,,
Best of Rock Vol. XL,1,Cream,Sunshine of Your Love,,classic rock,,,
Best of Rock Vol. XL,2,Joy Division,Transmission,,post-punk,,,
Best of Rock Vol. XL,3,Bauhaus,Ziggy Stardust,,cover,,,
Best of Rock Vol. XL,4,Gang of Four,To Hell With Poverty,,post-punk,,,
Best of Rock Vol. XL,5,Os Mutantes,A Minha Menina,,psychedelic,,,
Best of Rock Vol. XL,6,TV on the Radio,Wolf Like Me,,indie rock,,,
Best of Rock Vol. XL,7,The Mars Volta,Vermicide,,Progressive rock,,,
Best of Rock Vol. XL,8,Sonic Youth,Incinerate,,alternative,,,
Best of Rock Vol. XL,9,The White Stripes,Hotel Yorba,,rock,,,
Best of Rock Vol. XL,10,Iggy Pop,The Passenger,,rock,,,
Best of Rock Vol. XL,11,Pink Floyd,Interstellar Overdrive,,psychedelic,,,
Best of Rock Vol. XL,12,Syd Barrett,Opel,,psychedelic,,,
Best of Rock Vol. XL,13,Guided By Voices,Buzzards and Dreadful Crows,,indie rock,,,
Best of Rock Vol. XL,14,New Order,Temptation,,new wave,,,
Best of Rock Vol. XL,15,The Cure,Disintegration,,new wave,,,
Best of Rock Vol. XL,16,Jimi Hendrix,Voodoo Child (Slight Return),,classic rock,,,
Best of Rock Vol. XLI,1,Muse,Starlight,,alternative rock,,,
Best of Rock Vol. XLI,2,Mission of Burma,That's When I Reach for My Revolver,,post-punk,,,
Best of Rock Vol. XLI,3,Tapes 'n Tapes,Insistor,,indie rock,,,
Best of Rock Vol. XLI,4,The Flaming Lips,She Don't Use Jelly,,indie,,,
Best of Rock Vol. XLI,5,TV on the Radio,A Method,,indie,,,
Best of Rock Vol. XLI,6,Gnarls Barkley,Gone Daddy Gone,,cover,,,
Best of Rock Vol. XLI,7,Ciccone Youth,Into the Groovey,,experimental,,,
Best of Rock Vol. XLI,8,Massive Attack,Butterfly Caught,,trip-hop,,,
Best of Rock Vol. XLI,9,Tricky,Aftermath,,trip-hop,,,
Best of Rock Vol. XLI,10,Bauhaus,God In An Alcove,,post-punk,,,
Best of Rock Vol. XLI,11,Os Mutantes,Bat Macumba,,tropicalia,,,
Best of Rock Vol. XLI,12,Syd Barrett,Dark Globe,,psychedelic,,,
Best of Rock Vol. XLI,13,Boards of Canada,In a Beautiful Place Out in the Country,,electronic,,,
Best of Rock Vol. XLI,14,Lali Puna,People I Know,,electronic,,,
Best of Rock Vol. XLI,15,Love and Rockets,Kundalini Express,,post-punk,,,
Best of Rock Vol. XLI,16,Sonic Youth,What a Waste,,rock,,,
Best of Rock Vol. XLI,17,Modest Mouse,Paper Thin Walls,,indie,,,
Best of Rock Vol. XLI,18,Pixies,Broken Face,,rock,,,
Best of Rock Vol. XLI,19,The Books,All Bad Ends All,,experimental,,,
Best of Rock Vol. XLII,1,At the Drive-In,Ticklish,,post-hardcore,,,
Best of Rock Vol. XLII,2,Tapes 'n Tapes,Cowbell,,indie,,,
Best of Rock Vol. XLII,3,Muse,Supermassive Black Hole,,alternative rock,,,
Best of Rock Vol. XLII,4,The Mars Volta,Meccamputechture,,Progressive rock,,,
Best of Rock Vol. XLII,5,Radiohead,Just,,alternative,,,
Best of Rock Vol. XLII,6,Tom Waits,Jockey Full of Bourbon,,blues,,,
Best of Rock Vol. XLII,7,Beck,Broken Drum (Boards of Canada remix),,electronica,,,
Best of Rock Vol. XLII,8,Pink Floyd,Jugband Blues,,Psychedelic Rock,,,
Best of Rock Vol. XLII,9,Led Zeppelin,Bron-Y-Aur Stomp,,classic rock,,,
Best of Rock Vol. XLII,10,Talking Heads,Life During Wartime,,new wave,,,
Best of Rock Vol. XLII,11,Kraftwerk,Pocket Calculator,,electronic,,,
Best of Rock Vol. XLII,12,Pere Ubu,Final Solution,,post-punk,,,
Best of Rock Vol. XLII,13,TV on the Radio,Hours,,indie,,,
Best of Rock Vol. XLII,14,Liars,It Fit When I Was a Kid,,experimental,,,
Best of Rock Vol. XLII,15,Secret Machines,Lightning Blue Eyes,,rock,,,
Best of Rock Vol. XLII,16,My Bloody Valentine,When You Sleep,,shoegaze,,,
Best of Rock Vol. XLII,17,Portishead,Sour Times,,trip-hop,,,
Best of Rock Vol. XLIII,1,Miss Kittin & the Hacker,Frank Sinatra,,Electroclash,,,
Best of Rock Vol. XLIII,2,Tricky,Evolution Revolution Love,,trip-hop,,,
Best of Rock Vol. XLIII,3,Tom Waits,16 Shells from a Thirty Ought Six,,damn,,,
Best of Rock Vol. XLIII,4,The Walkmen,New Year's Eve,,american i like,,,
Best of Rock Vol. XLIII,5,The Flaming Lips,A Spoonful Weighs a Ton,,indie rock,,,
Best of Rock Vol. XLIII,6,TV on the Radio,Let the Devil In,,indie,,,
Best of Rock Vol. XLIII,7,Yo La Tengo,Pass the Hatchet, I Think I'm Goodkind,,indie,,,
Best of Rock Vol. XLIII,8,Sonic Youth,Tom Violence,,alternative rock,,,
Best of Rock Vol. XLIII,9,...And You Will Know Us by the Trail of Dead,Will You Smile Again?,,rock,,,
Best of Rock Vol. XLIII,10,Big Black,The Model,,cover,,,
Best of Rock Vol. XLIII,11,KMFDM,Hau Ruck,,industrial,,,
Best of Rock Vol. XLIII,12,Mission of Burma,Outlaw,,post-punk,,,
Best of Rock Vol. XLIII,13,The Smiths,Frankly, Mr. Shankly,,80s,,,
Best of Rock Vol. XLIII,14,Pink Floyd,Flaming,,Psychedelic Rock,,,
Best of Rock Vol. XLIII,15,Syd Barrett,Baby Lemonade,,psychedelic,,,
Best of Rock Vol. XLIII,16,Talking Heads,Once in a Lifetime,,80s,,,
Best of Rock Vol. XLIII,17,Radiohead,No Surprises,,alternative,,,
Best of Rock Vol. XLIII,18,Muse,Knights of Cydonia,,rock,,,
Best of Rock Vol. XLIV,1,Jimi Hendrix,Purple Haze,,classic rock,,,
Best of Rock Vol. XLIV,2,Led Zeppelin,Immigrant Song,,classic rock,,,
Best of Rock Vol. XLIV,3,Tom Waits,Lie to Me,,blues,,,
Best of Rock Vol. XLIV,4,Echo & the Bunnymen,The Cutter,,80s,,,
Best of Rock Vol. XLIV,5,The Velvet Underground,Sunday Morning,,rock,,,
Best of Rock Vol. XLIV,6,Jefferson Airplane,White Rabbit,,psychedelic,,,
Best of Rock Vol. XLIV,7,The Zombies,Time of the Season,,60s,,,
Best of Rock Vol. XLIV,8,Elton John,Tiny Dancer,,classic rock,,,
Best of Rock Vol. XLIV,9,David Bowie,The Man Who Sold the World,,rock,,,
Best of Rock Vol. XLIV,10,Johnny Cash,The Man in Black,,country,,,
Best of Rock Vol. XLIV,11,Bob Dylan,Like a Rolling Stone,,folk,,,
Best of Rock Vol. XLIV,12,John Lennon,Working Class Hero,,classic rock,,,
Best of Rock Vol. XLIV,13,The Beatles,A Day in the Life,,classic rock,,,
Best of Rock Vol. XLIV,14,Syd Barrett,Dominoes,,psychedelic,,,
Best of Rock Vol. XLIV,15,Pink Floyd,Learning to Fly,,Progressive rock,,,
Best of Rock Vol. XLIV,16,David Gilmour,On An Island,,Progressive rock,,,
Best of Rock Vol. XLIV,17,Black Sabbath,Planet Caravan,,heavy metal,,,
Best of Rock Vol. XLIV,18,The Stooges,1970,,proto-punk,,,
Best of Rock Vol. XLV,1,Interpol,The Heinrich Maneuver,,indie rock,,,
Best of Rock Vol. XLV,2,!!!,Pardon My Freedom,,indie,,,
Best of Rock Vol. XLV,3,Man Man,Engwish Bwudd,,cabaret,,,
Best of Rock Vol. XLV,4,Of Montreal,Heimdalsgate Like a Promethean Curse,,indie pop,,,
Best of Rock Vol. XLV,5,The White Stripes,Astro,,rock,,,
Best of Rock Vol. XLV,6,Battles,Atlas,,math rock,,,
Best of Rock Vol. XLV,7,Grizzly Bear,Knife,,indie,,,
Best of Rock Vol. XLV,8,Arcade Fire,Black Mirror,,indie,,,
Best of Rock Vol. XLV,9,...And You Will Know Us by the Trail of Dead,Gold Heart Mountain,,Unknown,,,
Best of Rock Vol. XLV,10,Rusted Root,Ecstacy,,Jam,,,
Best of Rock Vol. XLV,11,Nine Inch Nails,The Beginning of the End,,industrial,,,
Best of Rock Vol. XLV,12,Queens of the Stone Age,Lost Art of Keeping a Secret,,rock,,,
Best of Rock Vol. XLV,13,Sublime,April 29, 1992,,ska,,,
Best of Rock Vol. XLV,14,Devo,Mongoloid,,new wave,,,
Best of Rock Vol. XLV,15,Richard Hell & the Voivods,Blank Generation,,punk,,,
Best of Rock Vol. XLV,16,The Black Keys,Till I Get My Way,,blues rock,,,
Best of Rock Vol. XLV,17,Slint,Good Morning, Captain,,post-rock,,,
Best of Rock Vol. XLV,18,Sonic Youth,Karen Revisited,,experimental,,,
Best of Rock Vol. XLVI,1,Nomo,Nu Tones,,jazz,,,
Best of Rock Vol. XLVI,2,Jamie Lidell,When I Come Back Around,,funk,,,
Best of Rock Vol. XLVI,3,Of Montreal,Gronlandic Edit,,indie,,,
Best of Rock Vol. XLVI,4,!!!,Bend Over Beethoven (live @ the Magic Stick 5-11-07),,Unknown,,,
Best of Rock Vol. XLVI,5,Battles,Rainbow,,math rock,,,
Best of Rock Vol. XLVI,6,Slint,Nosferatu Man,,post-rock,,,
Best of Rock Vol. XLVI,7,Interpol,The Scale,,indie rock,,,
Best of Rock Vol. XLVI,8,The White Stripes,300 M.P.H. Torrential Outpour Blues,,rock,,,
Best of Rock Vol. XLVI,9,Spoon,Don't Make Me a Target,,indie,,,
Best of Rock Vol. XLVI,10,Sonic Youth,Hey Joni,,alternative rock,,,
Best of Rock Vol. XLVI,11,The Clash,Know Your Rights,,punk,,,
Best of Rock Vol. XLVI,12,Menomena,The Pelican,,experimental,,,
Best of Rock Vol. XLVI,13,Band of Horses,The Funeral,,indie rock,,,
Best of Rock Vol. XLVI,14,Matthew Dear,Deserter,,electronica,,,
Best of Rock Vol. XLVI,15,Out Hud,The Song So Good They Named It,,electronic,,,
Best of Rock Vol. XLVII,1,The Flaming Lips,Do You Realize??,,indie,,,
Best of Rock Vol. XLVII,2,Professor Murder,Free Stress Test,,indie,,,
Best of Rock Vol. XLVII,3,Muse,Map of the Problematique,,rock,,,
Best of Rock Vol. XLVII,4,The White Stripes,Little Cream Soda,,rock,,,
Best of Rock Vol. XLVII,5,Interpol,Mammoth,,indie rock,,,
Best of Rock Vol. XLVII,6,Of Montreal,Wraith Pinned to the Mist and Other Games,,indie,,,
Best of Rock Vol. XLVII,7,!!!,A New Name,,indie,,,
Best of Rock Vol. XLVII,8,Battles,Leyendecker,,experimental,,,
Best of Rock Vol. XLVII,9,Coil,Babylero,,experimental,,,
Best of Rock Vol. XLVII,10,Miss Kittin & the Hacker,Hometown,,electro,,,
Best of Rock Vol. XLVII,11,Simian Mobile Disco,Hustler,,electronic,,,
Best of Rock Vol. XLVII,12,Air,Mer du Japon,,electronic,,,
Best of Rock Vol. XLVII,13,Jamie Lidell,Multiply,,soul,,,
Best of Rock Vol. XLVII,14,Nomo,Hand and Mouth,,jazz,,,
Best of Rock Vol. XLVII,15,New Order,Ceremony,,new wave,,,
Best of Rock Vol. XLVII,16,The 13th Floor Elevators,You're Gonna Miss Me,,psychedelic,,,
Best of Rock Vol. XLVII,17,The Olivia Tremor Control,A Sleepy Company,,90s,,,
Best of Rock Vol. XLVII,18,Arcade Fire,Keep the Car Running,,indie,,,
Best of Rock Vol. XLVII,19,Caribou,Bees,,electronic,,,
Best of Rock Vol. XLVIII,1,Bob Dylan,Subterranean Homesick Blues,,folk,,,
Best of Rock Vol. XLVIII,2,Peter Bjorn and John,Young Folks,,indie,,,
Best of Rock Vol. XLVIII,3,Clap Your Hands Say Yeah,Satan Said Dance,,indie,,,
Best of Rock Vol. XLVIII,4,The National,Mistaken for Strangers,,indie rock,,,
Best of Rock Vol. XLVIII,5,Modest Mouse,Dashboard,,indie,,,
Best of Rock Vol. XLVIII,6,Spoon,The Underdog,,indie,,,
Best of Rock Vol. XLVIII,7,!!!,Heart of Hearts,,electronic,,,
Best of Rock Vol. XLVIII,8,Holy Fuck,Lovely Allen,,electronic,,,
Best of Rock Vol. XLVIII,9,The White Stripes,A Martyr for My Love for You,,rock,,,
Best of Rock Vol. XLVIII,10,Arcade Fire,(Antichrist Television Blues),,indie rock,,,
Best of Rock Vol. XLVIII,11,Interpol,Pioneer to the Fall,,Unknown,,,
Best of Rock Vol. XLVIII,12,hollAND,Anna Winter Stasi,,Unknown,,,
Best of Rock Vol. XLVIII,13,Radiohead,Jigsaw Falling Into Place,,alternative,,,
Best of Rock Vol. XLVIII,14,The Shins,Phantom Limb,,indie,,,
Best of Rock Vol. XLVIII,15,Television,Little Johnny Jewel,,new wave,,,
Best of Rock Vol. XLVIII,16,Bob Dylan,Hurricane,,folk,,,
Best of Rock Vol. XLIX: Led Zeppelin Edition,1,Led Zeppelin,Good Times, Bad Times,,rock,,,
Best of Rock Vol. XLIX: Led Zeppelin Edition,2,Led Zeppelin,Dazed and Confused,,classic rock,,,
Best of Rock Vol. XLIX: Led Zeppelin Edition,3,Led Zeppelin,Heartbreaker,,classic rock,,,
Best of Rock Vol. XLIX: Led Zeppelin Edition,4,Led Zeppelin,Ramble On,,classic rock,,,
Best of Rock Vol. XLIX: Led Zeppelin Edition,5,Led Zeppelin,Immigrant Song,,classic rock,,,
Best of Rock Vol. XLIX: Led Zeppelin Edition,6,Led Zeppelin,Friends,,classic rock,,,
Best of Rock Vol. XLIX: Led Zeppelin Edition,7,Led Zeppelin,Tangerine,,classic rock,,,
Best of Rock Vol. XLIX: Led Zeppelin Edition,8,Led Zeppelin,That's the Way,,classic rock,,,
Best of Rock Vol. XLIX: Led Zeppelin Edition,9,Led Zeppelin,Bron Y'Aur Stomp,,classic rock,,,
Best of Rock Vol. XLIX: Led Zeppelin Edition,10,Led Zeppelin,Rock and Roll,,classic rock,,,
Best of Rock Vol. XLIX: Led Zeppelin Edition,11,Led Zeppelin,Misty Mountain Hop,,classic rock,,,
Best of Rock Vol. XLIX: Led Zeppelin Edition,12,Led Zeppelin,When the Levee Breaks,,classic rock,,,
Best of Rock Vol. XLIX: Led Zeppelin Edition,13,Led Zeppelin,The Song Remains the Same,,classic rock,,,
Best of Rock Vol. XLIX: Led Zeppelin Edition,14,Led Zeppelin,Trampled Under Foot,,classic rock,,,
Best of Rock Vol. XLIX: Led Zeppelin Edition,15,Led Zeppelin,Achilles Last Stand,,classic rock,,,
Best of Rock Vol. XLIX: Led Zeppelin Edition,16,Led Zeppelin,Fool in the Rain,,classic rock,,,
Best of Rock Vol. L,1,Devendra Banhart,This Beard is for Siobhan,,indie,,,
Best of Rock Vol. L,2,Radiohead,House of Cards,,alternative,,,
Best of Rock Vol. L,3,Portishead,We Carry On,,trip-hop,,,
Best of Rock Vol. L,4,Spoon,Finer Feelings,,indie rock,,,
Best of Rock Vol. L,5,Neil Young,Dirty Old Man,,rock,,,
Best of Rock Vol. L,6,Tom Waits,Goin' Out West,,blues,,,
Best of Rock Vol. L,7,Deerhunter,Cryptograms,,psychedelic,,,
Best of Rock Vol. L,8,Fujiya & Miyagi,Collarbone,,electronic,,,
Best of Rock Vol. L,9,Black Moth Super Rainbow,Rollerdisco,,psychedelic,,,
Best of Rock Vol. L,10,Peter Bjorn and John,Paris 2004,,indie,,,
Best of Rock Vol. L,11,Dudley Saunders,The Undoing (Everyday),,Little Known Gems,,,
Best of Rock Vol. L,12,Andrew Bird,The Trees Were Mistaken,,indie,,,
Best of Rock Vol. L,13,Blur,Death of a Party,,britpop,,,
Best of Rock Vol. L,14,Jamie Lidell,A Little Bit More,,soul,,,
Best of Rock Vol. L,15,Man Man,Gold Teeth,,possibly the greatest song ever sung by a man with a large and over elaborate moustache,,,
Best of Rock Vol. L,16,Mission of Burma,Secrets,,post-punk,,,
Best of Rock Vol. L,17,David Bowie,Hang On to Yourself,,rock,,,
Best of Rock Vol. L,18,Nick Cave & the Bad Seeds,Stagger Lee,,rock,,,
Best of Rock Vol. LI,1,John Vanderslice,Exodus Damage,,indie rock,,,
Best of Rock Vol. LI,2,The National,Apartment Story,,indie rock,,,
Best of Rock Vol. LI,3,Spoon,Don't You Evah,,indie,,,
Best of Rock Vol. LI,4,Radiohead,Reckoner,,alternative,,,
Best of Rock Vol. LI,5,Cut Copy,Lights & Music,,electronic,,,
Best of Rock Vol. LI,6,Portishead,Machine Gun,,trip-hop,,,
Best of Rock Vol. LI,7,Sonic Youth,Sugar Kane,,alternative,,,
Best of Rock Vol. LI,8,Oxford Collapse,Please Visit Your National Parks,,indie rock,,,
Best of Rock Vol. LI,9,Broken Social Scene,Handjobs for the Holidays,,indie,,,
Best of Rock Vol. LI,10,Peter Bjorn and John,Amsterdam,,indie,,,
Best of Rock Vol. LI,11,Yo La Tengo,The Weakest Part,,indie,,,
Best of Rock Vol. LI,12,Sufjan Stevens,Henney Buggy Band,,indie,,,
Best of Rock Vol. LI,13,Nomo,Reasons,,jazz,,,
Best of Rock Vol. LI,14,The Velvet Underground,I'm Waiting for the Man,,rock,,,
Best of Rock Vol. LI,15,Bob Dylan,Tombstone Blues,,folk,,,
Best of Rock Vol. LI,16,The Beatles,Within You Without You,,psychedelic,,,
Best of Rock Vol. LI,17,Tom Waits,Murder in the Red Barn,,Tom Waits,,,
Best of Rock Vol. LII,1,Andrew Bird,Imitosis,,indie,,,
Best of Rock Vol. LII,2,Brendan Canning,Love Is New,,indie rock,,,
Best of Rock Vol. LII,3,Apples in Stereo,Energy,,indie,,,
Best of Rock Vol. LII,4,Spoon,You Got Yr. Cherry Bomb,,indie rock,,,
Best of Rock Vol. LII,5,Radiohead,I Might Be Wrong,,alternative,,,
Best of Rock Vol. LII,6,Ambulance LTD,Primitive (The Way I Treat You),,indie,,,
Best of Rock Vol. LII,7,The Hold Steady,Sequestered in Memphis,,rock,,,
Best of Rock Vol. LII,8,Caribou,Melody Day,,electronic,,,
Best of Rock Vol. LII,9,Yeasayer,2080,,indie,,,
Best of Rock Vol. LII,10,The Dodos,Jodi,,indie,,,
Best of Rock Vol. LII,11,Devendra Banhart,Rejoicing in the Hands,,folk,,,
Best of Rock Vol. LII,12,Broken Social Scene,Major Label Debut,,indie,,,
Best of Rock Vol. LII,13,No Age,Eraser,,noise pop,,,
Best of Rock Vol. LII,14,The Black Keys,All Hands Against His Own,,blues rock,,,
Best of Rock Vol. LII,15,Kevin Drew,Frightening Lives,,rock,,,
Best of Rock Vol. LII,16,The National,Racing Like a Pro,,indie rock,,,
Best of Rock Vol. LII,17,Extra Golden,Obama,,Obama,,,
Best of Rock Vol. LII,18,The White Stripes,Effect and Cause,,rock,,,
Best of Rock Vol. LIII,1,The National,Mr. November,,indie rock,,,
Best of Rock Vol. LIII,2,Spoon,Mountain to Sound,,indie,,,
Best of Rock Vol. LIII,3,The Raconteurs,Broken Boy Soldier,,rock,,,
Best of Rock Vol. LIII,4,The Black Keys,I Got Mine,,blues rock,,,
Best of Rock Vol. LIII,5,The Walkmen,In the New Year,,indie,,,
Best of Rock Vol. LIII,6,Liars,Drum and the Uncomfortable Can,,noise,,,
Best of Rock Vol. LIII,7,Sonic Youth,Schizophrenia,,alternative,,,
Best of Rock Vol. LIII,8,Radiohead,You and Whose Army?,,alternative,,,
Best of Rock Vol. LIII,9,TV on the Radio,Young Liars,,indie,,,
Best of Rock Vol. LIII,10,Thom Yorke,Cymbal Rush,,electronic,,,
Best of Rock Vol. LIII,11,The Dodos,Fools,,indie,,,
Best of Rock Vol. LIII,12,Flogging Molly,Float,,irish,,,
Best of Rock Vol. LIII,13,Man Man,Van Helsing Boombox,,whistling,,,
Best of Rock Vol. LIII,14,The Flaming Lips,My Cosmic Autumn Rebellion,,indie,,,
Best of Rock Vol. LIII,15,Yo La Tengo,The Race is on Again,,indie,,,
Best of Rock Vol. LIII,16,The Zutons,Zuton Fever,,indie,,,
Best of Rock Vol. LIII,17,Primal Scream,Stuka,,dub,,,
Best of Rock Vol. LIV,1,Nick Cave & the Bad Seeds,Albert Goes West,,alternative rock,,,
Best of Rock Vol. LIV,2,Iggy Pop,Sixteen,,punk,,,
Best of Rock Vol. LIV,3,The Rolling Stones,Sympathy for the Devil,,classic rock,,,
Best of Rock Vol. LIV,4,Panda Bear,Comfy in Nautica,,experimental,,,
Best of Rock Vol. LIV,5,Holy Fuck,Frenchy's,,electronic,,,
Best of Rock Vol. LIV,6,Spoon,Stay Don't Go,,indie,,,
Best of Rock Vol. LIV,7,The National,Baby We'll Be Fine,,indie rock,,,
Best of Rock Vol. LIV,8,TV on the Radio,Crying,,indie rock,,,
Best of Rock Vol. LIV,9,Radiohead,15 Step,,alternative,,,
Best of Rock Vol. LIV,10,Sonic Youth,Chapel Hill,,alternative,,,
Best of Rock Vol. LIV,11,Mogwai,Acid Food,,post-rock,,,
Best of Rock Vol. LIV,12,The Sea and Cake,Weekend,,back flight,,,
Best of Rock Vol. LIV,13,Bob Dylan,It's Alright, Ma (I'm Only Bleeding),,folk,,,
Best of Rock Vol. LIV,14,Tunng,Bullets,,folk,,,
Best of Rock Vol. LIV,15,Nomo,Rings,,jazz fusion,,,
Best of Rock Vol. LIV,16,Tortoise,The Taut and Tame,,post-rock,,,
Best of Rock Vol. LIV,17,Cloudland Canyon,Krautwerk,,krautrock,,,
Best of Rock Vol. LV: Pitchfork and Lollapalooza Edition,1,Yeasayer,Sunrise,,indie,,,
Best of Rock Vol. LV: Pitchfork and Lollapalooza Edition,2,M83,Kim & Jessie,,electronic,,,
Best of Rock Vol. LV: Pitchfork and Lollapalooza Edition,3,The Antlers,Two,,indie,,,
Best of Rock Vol. LV: Pitchfork and Lollapalooza Edition,4,Grizzly Bear,On a Neck, On a Spit,,indie,,,
Best of Rock Vol. LV: Pitchfork and Lollapalooza Edition,5,The National,About Today,,indie,,,
Best of Rock Vol. LV: Pitchfork and Lollapalooza Edition,6,Cage the Elephant,Ain't No Rest for the Wicked,,rock,,,
